Epoch,Train Loss,Val Loss,RMSE,MAE,Accuracy,R2,Expl.Var
1,177.61390995334935,4190618.25,6.793838977813721,5.2600812911987305,0.5265889167785645,0.5782444477081299,0.5799560546875
2,96.68135503820471,3666280.75,6.354612350463867,5.054322242736816,0.5571953058242798,0.6336572170257568,0.640116274356842
3,84.50365819157781,3210457.0,5.946475505828857,4.6367902755737305,0.585635244846344,0.6775827407836914,0.6810470819473267
4,77.79290771484375,2971860.25,5.721242904663086,4.3957672119140625,0.6013299822807312,0.7010271549224854,0.7033923864364624
5,72.90275553110483,2796178.75,5.549561500549316,4.2233781814575195,0.6132931709289551,0.7185388207435608,0.7205480337142944
6,68.87639751949825,2627828.0,5.3799052238464355,4.029308795928955,0.6251152157783508,0.7350184917449951,0.7357762455940247
7,65.4626654547614,2517680.75,5.265947341918945,3.9621284008026123,0.6330560445785522,0.7480261325836182,0.7544458508491516
8,62.59479842314849,2356673.0,5.094784736633301,3.8063747882843018,0.6449831128120422,0.7638062238693237,0.7692726850509644
9,59.40620473913244,2189270.25,4.910501480102539,3.562898635864258,0.6578243970870972,0.7796323299407959,0.7818213701248169
10,57.1572992479479,2296174.0,5.028964519500732,3.5599660873413086,0.6495696306228638,0.7704606652259827,0.7779725790023804
11,56.04832066716374,2046846.0,4.7480878829956055,3.3279829025268555,0.6691417694091797,0.79346764087677,0.7937662601470947
12,54.412298460264466,2001560.625,4.695269584655762,3.3827404975891113,0.6728222370147705,0.7986984848976135,0.8016241788864136
13,53.64868215612463,1944373.125,4.627708435058594,3.269350528717041,0.6775301098823547,0.8038477301597595,0.8043152093887329
14,52.89448939143001,1920003.875,4.598616600036621,3.248403310775757,0.6795572638511658,0.8064149022102356,0.8073370456695557
15,52.39618291081609,1898022.125,4.572216510772705,3.162748336791992,0.6813969016075134,0.8084143996238708,0.8084231019020081
16,52.15537591882654,1879355.875,4.549678325653076,3.14971661567688,0.6829674243927002,0.810300886631012,0.8103196024894714
17,51.54314835007126,1868894.75,4.5369977951049805,3.2289633750915527,0.6838510036468506,0.8117774128913879,0.8136100769042969
18,51.25670025799725,1884957.0,4.556452751159668,3.121127128601074,0.6824953556060791,0.8101785778999329,0.812088131904602
19,50.90600317877692,1832532.875,4.492644309997559,3.1205925941467285,0.6869416832923889,0.8150261044502258,0.8150402307510376
20,50.96475498096363,1830213.375,4.489800453186035,3.085482597351074,0.6871398687362671,0.8153114914894104,0.8155519962310791
21,50.22229880255622,1834922.5,4.495572566986084,3.0716233253479004,0.6867376565933228,0.8149491548538208,0.8156866431236267
22,50.14986821767446,1816868.75,4.47340202331543,3.0679941177368164,0.6882825493812561,0.8167150020599365,0.8172091841697693
23,49.89436917691617,1799630.25,4.452129364013672,3.064373731613159,0.6897648572921753,0.8183441162109375,0.8183441758155823
24,49.56207574380411,1784875.75,4.433841228485107,3.07002592086792,0.6910392045974731,0.8198789358139038,0.8200861811637878
25,49.557854832829655,1795492.875,4.447009086608887,3.132689952850342,0.6901216506958008,0.819083571434021,0.8205406665802002
26,49.311029176454284,1799493.75,4.451960563659668,3.1592087745666504,0.6897766590118408,0.8189908266067505,0.8218545317649841
27,49.345625078355944,1837448.0,4.4986653327941895,3.07951283454895,0.6865221261978149,0.8153625130653381,0.819053053855896
28,49.45411795538825,1852855.75,4.517487525939941,3.0985910892486572,0.6852105855941772,0.8139466047286987,0.8182123899459839
29,48.776954753978835,1795172.0,4.446611404418945,3.193964719772339,0.6901493668556213,0.8196308612823486,0.8234332799911499
30,49.47976880460172,1910139.0,4.586787700653076,3.410682439804077,0.6803815364837646,0.810155987739563,0.8228163719177246
31,48.62734397681984,1744018.25,4.382800102233887,3.0027005672454834,0.6945959329605103,0.8239809274673462,0.8240902423858643
32,48.687363186398066,1823676.875,4.481775283813477,3.262727975845337,0.6876990795135498,0.8174973726272583,0.8245769739151001
33,48.240718841552734,1750366.125,4.390769004821777,3.1192333698272705,0.6940405964851379,0.8237758874893188,0.8259217739105225
34,47.997007833944785,1741080.0,4.379106521606445,2.9919373989105225,0.6948533058166504,0.8243119716644287,0.8245828747749329
35,47.91024068883947,1772805.875,4.418824195861816,3.183950424194336,0.6920856237411499,0.8221086263656616,0.8269926905632019
36,48.09622120212864,1755023.75,4.396606922149658,2.999767303466797,0.6936337947845459,0.8231790065765381,0.8247259259223938
37,47.7447347898741,1742436.5,4.380812168121338,3.1296675205230713,0.6947344541549683,0.82480788230896,0.8280591368675232
38,47.57864235542916,1741824.75,4.380043029785156,3.140106439590454,0.6947880387306213,0.8250129818916321,0.8289448618888855
39,47.35756982339395,1698313.375,4.324989318847656,2.948901891708374,0.6986242532730103,0.8285900354385376,0.8286815285682678
40,47.19405107240419,1700880.5,4.328257083892822,2.9394516944885254,0.6983965635299683,0.8284016847610474,0.8288346529006958
41,47.26000997182485,1691417.25,4.316199779510498,3.0111989974975586,0.6992368102073669,0.8294057846069336,0.8300793170928955
42,46.86009680258261,1677425.5,4.298310279846191,2.9655723571777344,0.7004833221435547,0.8306988477706909,0.8307934999465942
43,46.75721194293048,1689146.625,4.3133015632629395,2.914031505584717,0.6994386911392212,0.8296759128570557,0.8305501341819763
44,46.75639972171268,1672931.875,4.292549133300781,2.9462482929229736,0.7008848190307617,0.8311483860015869,0.8312234282493591
45,46.449522997881914,1737630.5,4.3747663497924805,3.1687779426574707,0.6951557397842407,0.8259666562080383,0.8324413895606995
46,46.74846855369774,1696105.75,4.322177410125732,2.9223248958587646,0.6988202333450317,0.8291609287261963,0.8309420943260193
47,46.53992070378484,1685686.625,4.308881759643555,2.9029362201690674,0.6997467279434204,0.8302031755447388,0.8319512605667114
48,46.24131383122624,1657919.75,4.273245811462402,2.9769575595855713,0.7022298574447632,0.8328269124031067,0.8337157964706421
49,45.99779407398121,1654229.5,4.268487453460693,2.9713239669799805,0.7025614976882935,0.8331931829452515,0.8340535163879395
50,46.24203790200723,1639612.5,4.249587535858154,2.9069693088531494,0.7038785219192505,0.8345077633857727,0.8345649242401123
51,46.26453853297878,1641822.75,4.252450466156006,2.9529478549957275,0.7036789655685425,0.8344118595123291,0.8351099491119385
52,45.84135354531778,1631940.875,4.239634037017822,2.8795809745788574,0.7045720815658569,0.8352708220481873,0.8352711200714111
53,46.21922570305902,1630537.75,4.237811088562012,2.9051010608673096,0.7046991586685181,0.8354467749595642,0.8356211185455322
54,45.59493379335146,1636293.375,4.245283603668213,2.9382996559143066,0.7041783928871155,0.8349921703338623,0.8358057141304016
55,45.600160031705286,1661963.5,4.278454303741455,3.0269784927368164,0.7018669843673706,0.832902729511261,0.8362046480178833
56,45.599913107382285,1635371.875,4.244088172912598,2.935617208480835,0.7042616605758667,0.8350875377655029,0.8359131813049316
57,45.3404754432472,1615172.875,4.217796802520752,2.8580222129821777,0.7060937285423279,0.8369638323783875,0.8369661569595337
58,45.36669643505199,1615452.875,4.218162536621094,2.836578845977783,0.7060682773590088,0.8369583487510681,0.837077796459198
59,44.98518804601721,1624827.125,4.230383396148682,2.9528112411499023,0.705216646194458,0.8362607955932617,0.8376496434211731
60,44.97768237139728,1648532.875,4.261131763458252,2.8598124980926514,0.7030740976333618,0.8340818881988525,0.8365246057510376
61,45.19903523213154,1620744.0,4.225064754486084,2.953958749771118,0.7055872678756714,0.8367341756820679,0.8384416103363037
62,45.12239724236566,1685421.25,4.308542251586914,3.0885956287384033,0.6997703313827515,0.8311837315559387,0.8376400470733643
63,45.24341645111909,1627283.5,4.233580112457275,2.9673309326171875,0.7049939632415771,0.8362137079238892,0.8386275768280029
64,45.20965813301705,1593500.0,4.189403057098389,2.869248151779175,0.708072304725647,0.8391985893249512,0.8394467234611511
65,44.65129481135188,1639228.5,4.24908971786499,2.8380815982818604,0.7039132118225098,0.8350816369056702,0.8378488421440125
66,45.07463259310336,1610039.75,4.211089134216309,2.9345104694366455,0.7065610885620117,0.8378324508666992,0.8396456837654114
67,44.548254064611484,1589582.75,4.184250831604004,2.8539397716522217,0.7084313035011292,0.8396154642105103,0.8399767875671387
68,44.695971411627696,1585072.25,4.178309917449951,2.8160290718078613,0.7088452577590942,0.8400017619132996,0.8400018215179443
69,44.36019691261085,1584452.75,4.177493572235107,2.853623390197754,0.70890212059021,0.8401103615760803,0.840352475643158
70,44.772911071777344,1633014.25,4.24102783203125,3.0277233123779297,0.704474925994873,0.8360960483551025,0.8408582210540771
71,44.34247351981498,1611428.0,4.212904453277588,2.813901901245117,0.7064346671104431,0.8376431465148926,0.8391999006271362
72,44.419792587692676,1638886.875,4.2486467361450195,3.0156357288360596,0.7039440274238586,0.835440993309021,0.8398644924163818
73,44.385387523754225,1574648.625,4.164548873901367,2.8160312175750732,0.7098041772842407,0.8410581350326538,0.8410803079605103
74,44.47754349579682,1585172.625,4.178442478179932,2.7952065467834473,0.7088360786437988,0.8400635719299316,0.8404414057731628
75,44.15855840734533,1608156.75,4.208625793457031,2.963789463043213,0.7067327499389648,0.8382641077041626,0.8413351774215698
76,45.02438869991818,1585047.0,4.178277015686035,2.8884620666503906,0.7088475823402405,0.8402990102767944,0.8418498039245605
